ls,"List files and directories."
cd,"Change directory."
pwd,"Print current working directory."
mkdir,"Create a new directory."
rm,"Remove files and directories."
cp,"Copy files and directories."
mv,"Move/rename files and directories."
rmdir,"Remove empty directories"
ssh,"Securely connect to a remote server/system"
scp,"Securely copy file(s) between servers"
man,"Display the user manual of Linux command"
g++,"Preprocessing, compilation, assembly, and linking of source code to generate an executable"
gcc,"Compile C/C++ language"
make,"Build a file"
ps,"Lists currently running processes"
kill,"Terminate processes manually"
top,"Real-time view of the running system"
who,"Gives information about currently logged in user"
chmod,"Changes access mode of a file"
cat,"Outputs contents of file"
alias,"Replaces one string with another string while executing the commands"
chown,"Changes the owner of a file"
df,"Displays information about file space and available space"
grep,"Searches file for a pattern of characters and displays all lines where the pattern appears"
echo,"Displays a string that are passed as an argument"
exit,"Exits the shell"
clear,"Clears the terminal screen"
find,"Finds files/directories and performs subsequent operations on them"
finger,"Gives details of all users logged in"
free,"Displays total free space available and the memory used"
