free,"Displays total free space available and the memory used"
finger,"Gives details of all users logged in"
find,"Finds files/directories and performs subsequent operations on them"
clear,"Clears the terminal screen"
exit,"Exits the shell"
echo,"Displays a string that are passed as an argument"
grep,"Searches file for a pattern of characters and displays all lines where the pattern appears"
df,"Displays information about file space and available space"
chown,"Changes the owner of a file"
alias,"Replaces one string with another string while executing the commands"
cat,"Outputs contents of file"
chmod,"Changes access mode of a file"
who,"Gives information about currently logged in user"
top,"Real-time view of the running system"
kill,"Terminate processes manually"
ps,"Lists currently running processes"
make,"Build a file"
gcc,"Compile C/C++ language"
g++,"Preprocessing, compilation, assembly, and linking of source code to generate an executable"
man,"Display the user manual of Linux command"
scp,"Securely copy file(s) between servers"
ssh,"Securely connect to a remote server/system"
rmdir,"Remove empty directories"
mv,"Move/rename files and directories."
cp,"Copy files and directories."
rm,"Remove files and directories."
mkdir,"Create a new directory."
pwd,"Print current working directory."
cd,"Change directory."
ls,"List files and directories."
